Kernel: patch_embed (patch_embed.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[80/128] -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[81/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 ... 0.531 ms / 2064 TFLOPS  (209 regs, 2.9s)
[82/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[83/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 ... 0.529 ms / 2071 TFLOPS  (210 regs, 3.0s)
[84/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[85/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 ... 0.527 ms / 2077 TFLOPS  (210 regs, 3.0s)
[86/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[87/128] -DMBAR_EARLY=1 ... 0.528 ms / 2074 TFLOPS  (210 regs, 2.9s)
[88/128] -DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[89/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 ... 0.528 ms / 2074 TFLOPS  (210 regs, 2.9s)
[90/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[91/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 ... 0.527 ms / 2077 TFLOPS  (210 regs, 2.9s)
[92/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
