
=== WALL TIME ===
label                                             ms    tflops  valid  regs  bars
fc2_dgsnake_p_fused                             5.710      1.33x      1.420      1.00x
fc2_dgsnake_p_gemm                              3.050      0.71x      1.410      0.99x
fc2_dgsnake_p_strip                             3.850      1.35x      0.008          ?
fc2_kstagger_p_fused                            7.140      1.67x      1.430      1.00x
fc2_kstagger_p_gemm                             4.750      1.11x      1.430      1.00x
fc2_kstagger_p_strip                            5.820      2.04x      0.013          ?
fc2_kstagger2_p_fused                           7.170      1.68x      1.430      1.00x
fc2_kstagger2_p_gemm                            4.680      1.09x      1.430      1.00x
fc2_kstagger2_p_strip                           5.720      2.00x      0.013          ?
fc2_kstagger3_p_fused                           7.090      1.66x      1.430      1.00x
fc2_kstagger3_p_gemm                            4.910      1.15x      1.430      1.00x
fc2_kstagger3_p_strip                           5.760      2.02x      0.013          ?
fc2_dg2_p_fused                                 6.020      1.41x      1.420      1.00x
fc2_dg2_p_gemm                                  3.440      0.80x      1.410      0.99x
fc2_dg2_p_strip                                 4.110      1.44x      0.010          ?
fc2_dg3_p_fused                                 6.260      1.46x      1.430      1.00x
fc2_dg3_p_gemm                                  3.520      0.82x      1.420      1.00x
fc2_dg3_p_strip                                 4.950      1.73x      0.012          ?
fc2_dg4_p_fused                                 5.800      1.36x      1.420      1.00x
fc2_dg4_p_gemm                                  3.250      0.76x      1.410      0.99x
fc2_dg4_p_strip                                 4.080      1.43x      0.010          ?
fc2_dg6_p_fused                                 6.300      1.47x      1.420      1.00x
fc2_dg6_p_gemm                                  3.540      0.83x      1.420      1.00x
fc2_dg6_p_strip                                 4.720      1.65x      0.012          ?
fc2_dg10_p_fused                                6.040      1.41x      1.420      1.00x
fc2_dg10_p_gemm                                 3.360      0.79x      1.410      0.99x
fc2_dg10_p_strip                                4.480      1.57x      0.011          ?
fc2_dg12_p_fused                                5.900      1.38x      1.420      1.00x
fc2_dg12_p_gemm                                 3.580      0.84x      1.410      0.99x
fc2_dg12_p_strip                                4.110      1.44x      0.010          ?
fc2_dg16_p_fused                                5.700      1.33x      1.420      1.00x
fc2_dg16_p_gemm                                 3.330      0.78x      1.410      0.99x
fc2_dg16_p_strip                                4.060      1.42x      0.009          ?
fc2_dg20_p_fused                                6.240      1.46x      1.430      1.00x
fc2_dg20_p_gemm                                 3.500      0.82x      1.410      0.99x
fc2_dg20_p_strip                                4.710      1.65x      0.012          ?
fc2_dg24_p_fused                                6.080      1.42x      1.420      1.00x
fc2_dg24_p_gemm                                 3.460      0.81x      1.410      0.99x
fc2_dg24_p_strip                                4.230      1.48x      0.010          ?
fc2_dg32_p_fused                                6.160      1.44x      1.420      1.00x
fc2_dg32_p_gemm                                 3.550      0.83x      1.410      0.99x
fc2_dg32_p_strip                                4.360      1.53x      0.011          ?
fc2_ck2_p_fused                                 5.720      1.34x      1.420      1.00x
fc2_ck2_p_gemm                                  3.340      0.78x      1.410      0.99x
fc2_ck2_p_strip                                 3.930      1.38x      0.008          ?
cutlass_fc2_fused                               4.280          —      1.400          —
