N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,0,32,100,4,1,1,4,0,3,255,0,192.125,0.533,2055.31,OK,-DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3
4,4,2,0,32,100,4,1,1,4,4,3,255,0,192.125,0.533,2054.81,OK,-DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,1,0,32,40,2,1,1,4,0,0,206,0,192.125,0.534,2052.23,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=40
4,4,1,0,32,80,2,1,1,4,0,0,206,0,192.125,0.534,2050.39,OK,-DINTERLEAVE_STRATEGY=1
4,4,1,0,32,200,2,1,1,4,0,0,206,0,192.125,0.534,2051.45,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=200
4,4,2,0,32,100,2,1,0,4,4,1,165,0,192.125,0.534,2048.97,OK,-DCVT_ADD_FUSED=0 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,0,4,0,1,214,0,192.125,0.534,2050.52,OK,-DCVT_ADD_FUSED=0 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1
4,4,2,0,32,100,2,1,1,4,4,1,165,0,192.125,0.534,2050.92,OK,-DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,1,4,4,0,255,0,192.125,0.534,2052.34,OK,-DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,1,4,0,1,214,0,192.125,0.534,2052.25,OK,-DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1
4,4,2,0,32,100,4,1,1,4,4,1,214,0,192.125,0.534,2051.38,OK,-DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
