N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,GELU_VARIANT,TMA_RESIDUAL,BATCH_EPILOGUE,GELU_VECTOR_WIDTH,STORE_TIMING,regs,spills,smem_kb,ms,tflops,status,dflags
5,4,3,0,32,40,4,1,1,5,0,3,1,0,0,0,0,32,0,244,0,225.0,2.733,1602.81,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=40 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,2,1,0,1,0,0,0,0,32,0,198,0,225.0,2.735,1601.27,OK,-DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=2 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DW0_LOOP_UNROLL=1
5,4,3,1,32,0,4,1,1,5,0,0,1,0,0,0,1,32,0,244,0,225.0,2.737,1600.56,OK,-DBATCH_EPILOGUE=1 -DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0
5,4,3,1,32,0,4,1,1,1,1,1,1,0,0,0,0,32,0,190,0,225.0,2.739,1599.12,OK,-DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=1
5,4,3,0,32,40,2,1,1,5,0,0,1,0,0,0,0,32,0,240,0,225.0,2.739,1599.36,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=40
5,4,1,1,32,0,4,1,1,5,0,3,1,0,4,0,0,32,0,244,0,225.0,2.74,1598.41,OK,-DGELU_VARIANT=4 -DINTERLEAVE_STRATEGY=1 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,1,1,32,0,4,1,1,5,0,3,1,1,4,0,0,32,0,247,0,225.0,2.74,1598.61,OK,-DGELU_VARIANT=4 -DINTERLEAVE_STRATEGY=1 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPREFETCH_BEFORE_STORE=1 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,8,4,0,1,0,0,0,0,32,0,218,0,225.0,2.746,1595.1,OK,-DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DW0_LOOP_UNROLL=4
5,4,3,1,32,0,4,1,1,5,4,0,1,0,0,0,0,32,0,246,0,225.0,2.749,1593.53,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DW0_LOOP_UNROLL=4
5,4,3,1,32,0,2,1,1,5,0,0,1,0,0,0,0,32,0,242,0,225.0,2.753,1591.01,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=0
