Kernel: fc1_gelu (fc1_gelu.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[1/3] -DN_STAGES=3 ... 3.111 ms / 1408 TFLOPS  (204 regs, 6.9s)
[2/3] (defaults) ... 3.069 ms / 1427 TFLOPS  (242 regs, 5.8s)
[3/3] -DN_STAGES=5 ... 3.042 ms / 1440 TFLOPS  (238 regs, 5.9s)
  η²: N_STAGES=1.000

  Gap: 0.89% → k_eff=2 (from 3)

Tier 1 winner (top-3): -DK_LOOP_UNROLL=5 -DN_STAGES=5 → 3.042 ms / 1440 TFLOPS
  #2: (defaults) → 3.069 ms / 1427 TFLOPS
  #3: -DK_LOOP_UNROLL=3 -DN_STAGES=3 → 3.111 ms / 1408 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
  Branch 1/2: -DN_STAGES=5
Sweep: 128 total, 64 valid, 64 pruned
Estimated time: ~5 min (64 configs × ~5s each)

[12/64] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 ... 3.199 ms / 1369 TFLOPS  (240 regs, 6.0s)
[13/64] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 ... 3.202 ms / 1368 TFLOPS  (240 regs, 6.0s)
[14/64] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 ... 3.155 ms / 1388 TFLOPS  (240 regs, 5.9s)
[15/64] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 ... 3.192 ms / 1372 TFLOPS  (240 regs, 5.8s)
[16/64] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 ... 3.172 ms / 1381 TFLOPS  (240 regs, 5.9s)
[17/64] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=0 ... 2.994 ms / 1463 TFLOPS  (242 regs, 5.9s)
[18/64] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=40 ... 3.009 ms / 1455 TFLOPS  (242 regs, 5.9s)
[19/64] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=60 ... 2.977 ms / 1471 TFLOPS  (242 regs, 5.9s)
[20/64] -DINTERLEAVE_STRATEGY=1 ... 2.937 ms / 1491 TFLOPS  (242 regs, 5.9s)
[21/64] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100 ... 2.927 ms / 1496 TFLOPS  (242 regs, 5.9s)
